y	m	d	Mondovi_Simn	Mondovi_arpa
1995	7	22	NA	0
1995	7	23	NA	0
1995	7	24	NA	38.2
1995	7	25	0	0
1995	7	26	0	0
1995	7	27	0	0
1995	7	28	0	0
1995	7	29	0	0
1995	7	30	0	0
1995	7	31	0	0
1995	8	1	0	0
1995	8	2	0	0
1995	8	3	0	0
1995	8	4	0	0
1995	8	5	0	0
1995	8	6	0.8	1.4
1995	8	7	0.8	0
1995	8	8	0.6	0
1995	8	9	3.6	4
1995	8	10	0	0
1995	8	11	0	0.2
1995	8	12	5.4	5
1995	8	13	0.2	0.4
1995	8	14	0	0
1995	8	15	12	13
1995	8	16	0	0
1995	8	17	5.4	4.2
1995	8	18	7.6	6.8
1995	8	19	3.4	2.6
1995	8	20	1	1
1995	8	21	2.8	2.4
1995	8	22	53.2	49.6
1995	8	23	8.4	6
1995	8	24	0.6	1
1995	8	25	14.6	12.2
1995	8	26	0	0
1995	8	27	0	0
1995	8	28	0	0
1995	8	29	0	0
1995	8	30	0	0
1995	8	31	0	0
1995	9	1	0	0
1995	9	2	0	0
1995	9	3	0	0
1995	9	4	0	0
1995	9	5	0	0
1995	9	6	0	0
1995	9	7	0	0
1995	9	8	8.2	8.2
1995	9	9	0	0
1995	9	10	0	0
1995	9	11	0	0
1995	9	12	0	0
1995	9	13	7	6.2
1995	9	14	56.8	53.2
1995	9	15	0	0
1995	9	16	0	0
1995	9	17	8.2	8
1995	9	18	0	0
1995	9	19	45.4	41.6
1995	9	20	11	8.2
1995	9	21	0	0
1995	9	22	1	0.6
1995	9	23	0	0.2
1995	9	24	0	0
1995	9	25	0.2	0
1995	9	26	14	13.2
1995	9	27	0	0
1995	9	28	0	0
1995	9	29	0	0
1995	9	30	0	0
1995	10	1	0	0
1995	10	2	0	0
1995	10	3	0	0
1995	10	4	1.6	1.4
1995	10	5	1.8	2.2
1995	10	6	13.6	12.8
1995	10	7	0.6	0.4
1995	10	8	0	0
1995	10	9	0	0
1995	10	10	0	0
1995	10	11	0	0
1995	10	12	0	0
1995	10	13	0	0
1995	10	14	0	0
1995	10	15	0	0
1995	10	16	0	0.2
1995	10	17	0	0
1995	10	18	0	0
1995	10	19	0	0
1995	10	20	0	0
1995	10	21	0	0
1995	10	22	0	0
1995	10	23	0	0
1995	10	24	0	0
1995	10	25	0	0
1995	10	26	0	0
1995	10	27	0	0
1995	10	28	0	0
1995	10	29	0	0
1995	10	30	0	0
1995	10	31	0	0
1995	11	1	0	0
1995	11	2	0	0
1995	11	3	0	0
1995	11	4	0	0
1995	11	5	0	0
1995	11	6	0	0
1995	11	7	0	0
1995	11	8	0	0
1995	11	9	0	0
1995	11	10	0	0
1995	11	11	0	0
1995	11	12	5.2	4.4
1995	11	13	16.4	17
1995	11	14	61	51.6
1995	11	15	0	0
1995	11	16	0	0
1995	11	17	0	0
1995	11	18	0	0
1995	11	19	0	0
1995	11	20	0	0
1995	11	21	0	0
